,sentence,onset,offset
0,good day to you,0.96,1.48
1,were here in location,1.96,2.97
2,and were here today to  recreate a famous experiment in the history of physics  experiment where galileo  dropped a  cannon ball  off the leaning tower  of pisa,3.06,12.79
3,so were going to be dropping a several things off of a tall building today,14.105986394557824,17.745986394557825
4,and one of the things we will be doing is we will be  dropping a basketballs of different sizes  from  the buildings,18.045986394557826,24.105986394557824
5,ah this is a standard to regulation basketball over here,24.105986394557824,27.245986394557825
6,and this is a smaller basketball about one sixth of the size and note that  the major difference in diameter,27.615986394557822,33.30598639455782
7,thats going to be important in our explanation,33.30598639455782,35.58598639455782
8,and then well be doing another drop of these two balls right  here,36.84498866213152,39.92498866213152
9,this is a standard issue of golf ball,39.92498866213152,41.59498866213152
10,and this is a so called golf  practice ball  over here,41.93498866213152,44.48498866213152
11,were also going to be making  physics fruit salad today,45.50498866213152,48.20498866213152
12,and were going to be dropping  several different kinds of fruit off of the  off of the  off of the building to see what happens,48.41498866213152,54.30498866213152
13,we will be dropping some large watermelons here,55.21498866213152,57.31498866213152
14,this is a seedless watermelon it weighs about twelve pounds or so,57.60498866213152,60.77498866213152
15,this is a mini watermelon it weighs about has about half the way to weighs about  five to six  pounds or so,61.46498866213152,67.05498866213152
16,and then  in combinations that will also be  dropping  different fruits of their smaller,67.51498866213151,72.74498866213152
17,for example we will be dropping  a lemon,72.74498866213152,74.51498866213151
18,so  thats the background behind what well be doing,75.26498866213151,77.47498866213152
19,and now  all we need  to do  is we need this building  to drop  the fruits off,77.83498866213152,82.5
20,the next time that they were going to drop will be  a  large watermelon  and a small watermelon,92.04199546485262,97.99199546485262
21,okay guys get ready,98.0219954648526,99.2819954648526
22,ready  drop  on cue,99.68199546485262,101.5619954648526
23,now that had a rather spectacular end but again you saw that they came down at different speeds,106.3319954648526,110.71199546485262
24,again then well have to analyze much more closely  to be able to hook to  park out whats going on,110.71199546485262,116.2819954648526
25,but they did  come down at different speeds,116.2819954648526,118.87199546485262
26,so lets analyze these data,121.28698412698414,122.60698412698412
27,one of the problems with this experiment  and with galileos  is that things happened so quickly,123.28698412698414,127.51698412698413
28,the time of flight  if you can call it that from the top of the building to the bottom is about 2 seconds,128.03698412698412,132.39698412698414
29,this means a small variations in things like time of release can produce large apparent changes in the outcome  at the end,132.92698412698414,138.63698412698415
30,the trick is to analyze the motion so that these other things can be minimized,139.17698412698414,142.63698412698415
31,this is where modern technology comes to the rescue,143.5829931972789,145.72299319727892
32,modern video cameras are essentially very fast still cameras  stringing together sequential images at a rate of about thirty frames per second,146.41299319727892,153.66299319727892
33,our eyes can only process images it at a rate of about fifteen to twenty frames per second,154.47299319727892,158.90299319727893
34,this is why the faster sequences in a video clip appear to us as smooth motion,159.45299319727891,163.6129931972789
